公司名称,公司行业,公司链接,职位,地区,薪资,标签,职位类型
青岛优贝贝教育咨询有限公司平度分公司,学前教育,https://www.liepin.com/company/13975733/,Python,青岛-平度,7-12k,['大专'],应届
华为,通信设备,https://www.liepin.com/company/954482/,Python软件工程师,深圳-龙岗区,20-40k·16薪,['本科'],应届
北京猿力未来科技有限公司,在线教育,https://www.liepin.com/company/8156911/,少儿编程主讲（python）,北京-朝阳区,12-20k·14薪,['本科'],应届
信也科技,科技金融,https://www.liepin.com/company/5577249/,2025届校招-Data Engineer(Python/Go/C/C++),上海-浦东新区,14-26k·15薪,['本科'],应届
威海恒旺光伏发电服务有限公司,新能源,https://www.liepin.com/company/13841137/,行政助理/主管,威海-环翠区,5-6k,[],无
泽景汽车,汽车零部件及配件,https://www.liepin.com/company/8739082/,懂编程的机械工程师,西安-高新区,15-30k·13薪,['硕士'],应届
伊克罗德,计算机软件,https://www.liepin.com/company/8792009/,AI算法工程师,南京-雨花台区,4-5k,['学历不限'],应届
伊克罗德,计算机软件,https://www.liepin.com/company/8792009/,算法工程师,南京-雨花台区,4-5k,['本科'],应届
华为终端有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12524841/,AI工程师软件工程师2526届,上海-青浦区,13-30k·14薪,['本科'],应届
华为终端有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12524841/,软件开发工程师-留学生博士招聘,上海-青浦区,13-35k·14薪,['硕士'],应届
AlphaGrep,基金/证券/期货,https://www.liepin.com/company/12902951/,量化开发工程师 （2025年毕业）,上海-徐汇区,20-40k,['硕士'],应届
松果出行,互联网,https://www.liepin.com/company/8414072/,算法工程师,合肥-经开区,20-40k,['硕士'],应届
华为,通信设备,https://www.liepin.com/company/954482/,软件开发工程师,南京-雨花台区,18-35k·16薪,['本科'],应届
东土科技,计算机硬件,https://www.liepin.com/company/886849/,云计算研发工程师 (MJ000463),成都-郫都区,7-12k,['本科'],应届
广州淮琛贸易有限公司,批发/零售,https://www.liepin.com/company/13834407/,会计8K双休,洛阳-洛龙区,8-9k,[],无
联和氢能,新能源,https://www.liepin.com/company/12358601/,氢能数据平台储备管培生,嘉兴-平湖,5-8k,['本科'],应届
星际动能科技(深圳)有限公司,计算机软件,https://www.liepin.com/company/21142493/,后端实习生,深圳-南山区,3-4k,['本科'],应届
曼德电子电器有限公司,汽车零部件及配件,https://www.liepin.com/company/12863425/,嵌入式软件工程师,保定-莲池区,8-13k·17薪,['本科'],应届
中电数创,云计算/大数据,https://www.liepin.com/company/13415545/,后端（开发）工程师,北京-西城区,10-15k,['硕士'],应届
曼德电子电器有限公司,汽车零部件及配件,https://www.liepin.com/company/12863425/,嵌入式软件开发,保定-莲池区,8-15k,['本科'],应届
墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12441841/,算子开发工程师（北京深圳上海硅谷） (MJ000220),北京-朝阳区,薪资面议,['硕士'],应届
墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12441841/,算子开发工程师（北京深圳上海硅谷） (MJ000220),深圳-南山区,薪资面议,['硕士'],应届
墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12441841/,算子开发工程师（北京深圳上海硅谷） (MJ000220),上海-徐汇区,薪资面议,['硕士'],应届
BYD,电子/半导体/集成电路,https://www.liepin.com/company/434237/,新能源汽车电池工程师(电气/结构/新能/热管理/电芯及电化学/启动电池/整车低压性能/CFD/CAE),西安-高新区,20-40k,['博士'],应届
BYD,电子/半导体/集成电路,https://www.liepin.com/company/434237/,新能源汽车电池工程师(电气/结构/系统/电芯与电化学/CAE/CFD/热管理/启动电池/整车低压性能/性能测试),西安-高新区,15-30k,['硕士'],应届
墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12441841/,算子开发工程师（深圳） (MJ000214),深圳-南山区,薪资面议,['硕士'],应届
墨芯人工智能科技(深圳)有限公司,电子/半导体/集成电路,https://www.liepin.com/company/12441841/,算子开发工程师（上海） (MJ000215),上海-徐汇区,薪资面议,['硕士'],应届
东土科技,计算机硬件,https://www.liepin.com/company/886849/,嵌入式软件工程师 (MJ000476),北京-石景山区,8-12k,['本科'],应届
上海杰奥普鑫投资管理有限公司,基金/证券/期货,https://www.liepin.com/company/12921209/,数据分析师,上海-浦东新区,7-12k,['本科'],应届
安信资管,基金/证券/期货,https://www.liepin.com/company/12302487/,金融交易系统开发岗（IT）,上海-虹口区,9-13k,['本科'],应届
上海琥珀汽车有限公司,整车制造,https://www.liepin.com/company/9999905/,其他互联网+技术职位,上海-闵行区,6-10k,['学历不限'],应届
上海合见工业软件集团有限公司,整车制造,https://www.liepin.com/company/12944001/,研发效能开发工程师(J10294),上海-浦东新区,薪资面议,['硕士'],应届
快意科技,IT服务,https://www.liepin.com/company/8708670/,SRM系统开发工程师,上海-闵行区,6-9k,['本科'],应届
广东亿迅科技有限公司,计算机软件,https://www.liepin.com/company/552933/,大数据开发（校招，广州）,广州-天河区,8-11k,['本科'],应届
广州晖维商贸有限公司,服装/纺织/皮革,https://www.liepin.com/company/13760333/,审计助理,深圳,6-7k,[],无
深圳市新凯来技术有限公司,电子/半导体/集成电路,https://www.liepin.com/company/13130541/,软件开发,深圳,20-30k,['本科'],应届
建发集团,贸易/进出口,https://www.liepin.com/company/2896521/,审计数据分析师,厦门,10-12k·14薪,['本科'],应届
辅量成像,汽车,https://www.liepin.com/company/13542045/,DevOps初级工程师,上海-浦东新区,10-15k,['本科'],应届
